Round,Player_ID,Action,Insolvent,Capital_Start,Neighbor_Details,Delta_Sum,Capital_End
1,0,D,NO,1.00,P1(C):Low:+0.20; P3(C):Low:+0.20; P7(C):Low:+0.20,+0.60,1.60
1,1,C,NO,1.00,P0(D):Low:-0.10; P2(C):Low:+0.10; P3(C):Low:+0.10,+0.10,1.10
1,2,C,NO,1.00,P1(C):Low:+0.10; P5(C):Low:+0.10; P6(C):Low:+0.10,+0.30,1.30
1,3,C,NO,1.00,P0(D):Low:-0.10; P1(C):Low:+0.10; P4(C):Low:+0.10,+0.10,1.10
1,4,C,NO,1.00,P3(C):Low:+0.10; P5(C):Low:+0.10; P6(C):Low:+0.10,+0.30,1.30
1,5,C,NO,1.00,P2(C):Low:+0.10; P4(C):Low:+0.10; P7(C):Low:+0.10,+0.30,1.30
1,6,C,NO,1.00,P2(C):Low:+0.10; P4(C):Low:+0.10; P7(C):Low:+0.10,+0.30,1.30
1,7,C,NO,1.00,P0(D):Low:-0.10; P5(C):Low:+0.10; P6(C):Low:+0.10,+0.10,1.10
2,0,D,NO,1.60,P1(C):Low:+0.20; P3(D):Low:+0.00; P7(C):Low:+0.20,+0.40,2.00
2,1,C,NO,1.10,P0(D):Low:-0.10; P2(C):Low:+0.10; P3(D):Low:-0.10,-0.10,1.00
2,2,C,NO,1.30,P1(C):Low:+0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,+0.10,1.40
2,3,D,NO,1.10,P0(D):Low:+0.00; P1(C):Low:+0.20; P4(C):Low:+0.20,+0.40,1.50
2,4,C,NO,1.30,P3(D):Low:-0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,-0.10,1.20
2,5,D,NO,1.30,P2(C):Low:+0.20; P4(C):Low:+0.20; P7(C):Low:+0.20,+0.60,1.90
2,6,C,NO,1.30,P2(C):Low:+0.10; P4(C):Low:+0.10; P7(C):Low:+0.10,+0.30,1.60
2,7,C,NO,1.10,P0(D):Low:-0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,-0.10,1.00
3,0,D,NO,2.00,P1(C):Low:+0.20; P3(D):Low:+0.00; P7(C):Low:+0.20,+0.40,2.40
3,1,C,NO,1.00,P0(D):Low:-0.10; P2(C):Low:+0.10; P3(D):Low:-0.10,-0.10,0.90
3,2,C,NO,1.40,P1(C):Low:+0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,+0.10,1.50
3,3,D,NO,1.50,P0(D):Low:+0.00; P1(C):Low:+0.20; P4(C):Low:+0.20,+0.40,1.90
3,4,C,NO,1.20,P3(D):Low:-0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,-0.10,1.10
3,5,D,NO,1.90,P2(C):Low:+0.20; P4(C):Low:+0.20; P7(C):Low:+0.20,+0.60,2.50
3,6,C,NO,1.60,P2(C):Low:+0.10; P4(C):Low:+0.10; P7(C):Low:+0.10,+0.30,1.90
3,7,C,NO,1.00,P0(D):Low:-0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,-0.10,0.90
4,0,D,NO,2.40,P1(D):Low:+0.00; P3(D):Low:+0.00; P7(C):Low:+0.20,+0.20,2.60
4,1,D,NO,0.90,P0(D):Low:+0.00; P2(C):Low:+0.20; P3(D):Low:+0.00,+0.20,1.10
4,2,C,NO,1.50,P1(D):Low:-0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,-0.10,1.40
4,3,D,NO,1.90,P0(D):Low:+0.00; P1(D):Low:+0.00; P4(C):Low:+0.20,+0.20,2.10
4,4,C,NO,1.10,P3(D):Low:-0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,-0.10,1.00
