strategy,game_id,round,player_id,prompt_preview,raw_reply,decision
random,0,1,0,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.20,0.10,0.40}；选择背叛的有1人，他们的收益分别是{0.20}，",1,1
random,0,1,1,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有2人，他们的收益分别为{0.10,0.00}；选择背叛的有2人，他们的收益分别是{0.40,0.40}，",0,0
random,0,1,2,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.20,0.40,0.20}；选择背叛的有1人，他们的收益分别是{0.70}，",1,1
random,0,1,4,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有2人，他们的收益分别为{0.30,0.50}；选择背叛的有2人，他们的收益分别是{0.40,0.90}，",1,1
random,0,1,6,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.40,0.50,0.10}；选择背叛的有1人，他们的收益分别是{0.60}，",1,1
random,0,1,8,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.20,0.50,0.60,0.40}；选择背叛的有0人，他们的收益分别是{}",1,1
random,0,1,9,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.30,0.00,0.50}；选择背叛的有1人，他们的收益分别是{0.60}，",1,1
random,0,1,3,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.10,0.10,0.20,0.00}；选择背叛的有0人，他们的收益分别是{}",1,1
random,0,1,11,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有2人，他们的收益分别为{0.20,0.70}；选择背叛的有2人，他们的收益分别是{0.40,0.90}，",0,0
random,0,1,12,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有2人，他们的收益分别为{0.40,0.70}；选择背叛的有2人，他们的收益分别是{0.40,0.70}，",0,0
random,0,1,5,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.10,0.50,0.20}；选择背叛的有1人，他们的收益分别是{0.70}，",1,1
random,0,1,13,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.20,0.30,0.40,0.50}；选择背叛的有0人，他们的收益分别是{}",1,1
random,0,1,14,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.30,0.40,0.50,0.20}；选择背叛的有0人，他们的收益分别是{}",1,1
random,0,1,7,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.20,0.30,0.20}；选择背叛的有1人，他们的收益分别是{0.50}，",1,1
random,0,1,15,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有2人，他们的收益分别为{0.00,0.20}；选择背叛的有2人，他们的收益分别是{0.40,0.60}，",1,1
random,0,1,16,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.00,0.10,0.00,0.20}；选择背叛的有0人，他们的收益分别是{}",1,1
