strategy,game_id,round,player_id,prompt_preview,raw_reply,decision
reactive,0,1,0,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有2人，他们的收益分别为{0.20,0.50}；选择背叛的有2人，他们的收益分别是{0.40,0.40}，",1,1
reactive,0,1,1,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.50,0.50,0.20}；选择背叛的有1人，他们的收益分别是{0.40}，",1,1
reactive,0,1,3,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有2人，他们的收益分别为{0.50,0.20}；选择背叛的有2人，他们的收益分别是{0.40,0.60}，",0,0
reactive,0,1,4,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.50,0.80,0.80}；选择背叛的有1人，他们的收益分别是{0.60}，",1,1
reactive,0,1,5,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.50,0.80,0.80}；选择背叛的有1人，他们的收益分别是{0.60}，",1,1
reactive,0,1,6,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.80,0.80,0.80,0.20}；选择背叛的有0人，他们的收益分别是{}",1,1
reactive,0,1,7,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.50,0.80,0.80,0.50}；选择背叛的有0人，他们的收益分别是{}",1,1
reactive,0,1,8,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{-0.10,-0.10,0.20}；选择背叛的有1人，他们的收益分别是{0.60",0,0
reactive,0,1,9,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.80,0.50,0.80}；选择背叛的有1人，他们的收益分别是{0.80}，",1,1
reactive,0,1,10,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.50,0.50,0.50,0.20}；选择背叛的有0人，他们的收益分别是{}",1,1
reactive,0,1,11,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.80,0.80,0.50}；选择背叛的有1人，他们的收益分别是{0.40}，",1,1
reactive,0,1,12,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有1人，他们的收益分别为{0.80}；选择背叛的有3人，他们的收益分别是{0.60,0.40,0.80}，",1,1
reactive,0,1,13,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.80,0.50,0.80}；选择背叛的有1人，他们的收益分别是{0.60}，",1,1
reactive,0,1,14,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.80,0.80,0.20,0.80}；选择背叛的有0人，他们的收益分别是{}",1,1
reactive,0,1,15,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.80,0.20,0.80,0.80}；选择背叛的有0人，他们的收益分别是{}",1,1
reactive,0,1,16,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.50,0.80,0.20,0.50}；选择背叛的有0人，他们的收益分别是{}",1,1
reactive,0,1,17,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{-0.10,0.50,0.50}；选择背叛的有1人，他们的收益分别是{0.60}",0,0
reactive,0,1,18,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.50,0.80,0.80}；选择背叛的有1人，他们的收益分别是{0.80}，",0,0
reactive,0,1,19,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.50,0.50,0.50}；选择背叛的有1人，他们的收益分别是{0.80}，",0,0
reactive,0,1,20,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.50,0.50,0.50,0.50}；选择背叛的有0人，他们的收益分别是{}",1,1
reactive,0,1,21,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.80,0.80,0.80,0.50}；选择背叛的有0人，他们的收益分别是{}",1,1
reactive,0,1,22,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有1人，他们的收益分别为{0.80}；选择背叛的有3人，他们的收益分别是{0.60,0.60,0.80}，",1,1
reactive,0,1,23,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.50,0.80,0.50}；选择背叛的有1人，他们的收益分别是{0.80}，",1,1
reactive,0,1,24,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有2人，他们的收益分别为{-0.10,0.20}；选择背叛的有2人，他们的收益分别是{0.40,0.60}",0,0
reactive,0,1,25,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有2人，他们的收益分别为{0.80,0.80}；选择背叛的有2人，他们的收益分别是{0.40,0.60}，",1,1
reactive,0,1,2,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有3人，他们的收益分别为{0.50,0.80,0.80}；选择背叛的有1人，他们的收益分别是{0.60}，",1,1
reactive,0,1,26,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.80,0.50,0.80,0.50}；选择背叛的有0人，他们的收益分别是{}",1,1
reactive,0,1,27,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有4人，他们的收益分别为{0.50,0.50,0.80,0.80}；选择背叛的有0人，他们的收益分别是{}",1,1
reactive,0,1,28,"你在参加一场重复合作博弈游戏，上一轮，邻居中选择合作的有2人，他们的收益分别为{0.80,0.80}；选择背叛的有2人，他们的收益分别是{0.60,0.80}，",1,1
